Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of a nutrient adequate diet [CoNA],Cost of an energy sufficient diet [CoCA],Cost of animal-source foods [CoHD_asf],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],Cost of fruits [CoHD_f],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],"Cost of legumes, nuts and seeds [CoHD_lns]","Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats [CoHD_of],Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Cost of starchy staples [CoHD_ss],Cost of vegetables [CoHD_v],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Population [Pop]
Food Prices for Nutrition 1.0,FPN 1.0,Niger,NER,2020,YR2020,..,2.888,..,..,..,..,2.859,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88.8,..,..,21.5,24206636
Food Prices for Nutrition 1.0,FPN 1.0,Niger,NER,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Nigeria,NGA,2017,YR2017,0.603,3.601,0.358,2.136,0.234,1.396,3.565,2.58,2.115,1.382,0.994,1.31,0.522,0.69,0.23,0.3,0.13,0.17,0.757,0.932,1.23,0.279,0.146,0.065,0.036,0.261,0.212,55.3,78.1,94.1,105.6,149,179.7,190873247
Food Prices for Nutrition 1.0,FPN 1.0,Nigeria,NGA,2018,YR2018,..,3.762,..,..,..,..,3.724,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,94.8,..,..,185.6,195874685
Food Prices for Nutrition 1.0,FPN 1.0,Nigeria,NGA,2019,YR2019,..,3.909,..,..,..,..,3.87,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,95.3,..,..,191.5,200963603
Food Prices for Nutrition 1.0,FPN 1.0,Nigeria,NGA,2020,YR2020,..,4.134,..,..,..,..,4.093,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,95.9,..,..,197.6,206139587
Food Prices for Nutrition 1.0,FPN 1.0,Nigeria,NGA,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,North America,NAC,2017,YR2017,..,..,..,..,..,..,3.386,..,3.011,0.892,0.608,..,0.587,..,0.375,..,0.101,..,0.611,1.103,..,..,..,..,..,..,..,1.1,1.4,1.9,4.1,5.1,6.8,361731296
Food Prices for Nutrition 1.0,FPN 1.0,North America,NAC,2018,YR2018,..,..,..,..,..,..,3.331,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.6,..,..,6,363967296
Food Prices for Nutrition 1.0,FPN 1.0,North America,NAC,2019,YR2019,..,..,..,..,..,..,3.325,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.4,..,..,5.1,365987250
Food Prices for Nutrition 1.0,FPN 1.0,North America,NAC,2020,YR2020,..,..,..,..,..,..,3.336,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.4,..,..,5.2,367553264
Food Prices for Nutrition 1.0,FPN 1.0,North America,NAC,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,North Macedonia,MKD,2017,YR2017,0.434,3.352,0.389,3.002,0.096,0.737,3.318,4.55,2.972,0.73,0.949,1.81,0.64,1.22,0.347,0.66,0.146,0.28,0.525,0.712,1.36,0.286,0.193,0.105,0.044,0.215,0.158,2.6,17.7,21.8,0.1,0.4,0.5,2074502
Food Prices for Nutrition 1.0,FPN 1.0,North Macedonia,MKD,2018,YR2018,..,3.343,..,..,..,..,3.31,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.8,..,..,0.4,2076217
Food Prices for Nutrition 1.0,FPN 1.0,North Macedonia,MKD,2019,YR2019,..,3.37,..,..,..,..,3.336,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.5,..,..,0.4,2076694
Food Prices for Nutrition 1.0,FPN 1.0,North Macedonia,MKD,2020,YR2020,..,3.462,..,..,..,..,3.427,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18,..,..,0.4,2072531
Food Prices for Nutrition 1.0,FPN 1.0,North Macedonia,MKD,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Norway,NOR,2017,YR2017,0.446,3.359,0.382,2.878,0.15,1.133,3.325,2.96,2.849,1.122,0.691,1.22,0.615,1.09,0.257,0.45,0.075,0.13,0.565,1.122,1.99,0.208,0.185,0.077,0.023,0.337,0.17,0.3,0.5,0.5,0,0,0,5276968
Food Prices for Nutrition 1.0,FPN 1.0,Norway,NOR,2018,YR2018,..,3.467,..,..,..,..,3.432,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.4,..,..,0,5311916
Food Prices for Nutrition 1.0,FPN 1.0,Norway,NOR,2019,YR2019,..,3.39,..,..,..,..,3.356,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3,..,..,0,5347896
Food Prices for Nutrition 1.0,FPN 1.0,Norway,NOR,2020,YR2020,..,3.506,..,..,..,..,3.471,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.4,..,..,0,5379475
Food Prices for Nutrition 1.0,FPN 1.0,Norway,NOR,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Oman,OMN,2017,YR2017,0.39,2.843,0.263,1.918,0.072,0.527,2.815,5.39,1.899,0.522,0.842,1.7,0.378,0.76,0.351,0.71,0.148,0.3,0.496,0.599,1.21,0.299,0.134,0.125,0.053,0.213,0.176,..,..,..,..,..,..,4665926
Food Prices for Nutrition 1.0,FPN 1.0,Oman,OMN,2018,YR2018,..,2.867,..,..,..,..,2.838,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4829476
Food Prices for Nutrition 1.0,FPN 1.0,Oman,OMN,2019,YR2019,..,2.951,..,..,..,..,2.921,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4974992
Food Prices for Nutrition 1.0,FPN 1.0,Oman,OMN,2020,YR2020,..,3.052,..,..,..,..,3.021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5106622
Food Prices for Nutrition 1.0,FPN 1.0,Oman,OMN,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Pakistan,PAK,2017,YR2017,0.928,3.442,0.53,1.966,0.209,0.776,3.408,4.44,1.946,0.768,1.019,2.49,0.923,2.25,0.34,0.83,0.193,0.47,0.41,0.524,1.28,0.299,0.271,0.1,0.057,0.154,0.12,0.2,38.4,79.7,0.4,79.9,165.7,207906210
Food Prices for Nutrition 1.0,FPN 1.0,Pakistan,PAK,2018,YR2018,..,3.429,..,..,..,..,3.395,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79,..,..,167.6,212228288
Food Prices for Nutrition 1.0,FPN 1.0,Pakistan,PAK,2019,YR2019,..,3.495,..,..,..,..,3.46,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81.2,..,..,175.9,216565317
Food Prices for Nutrition 1.0,FPN 1.0,Pakistan,PAK,2020,YR2020,..,3.722,..,..,..,..,3.685,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.5,..,..,184.4,220892331
Food Prices for Nutrition 1.0,FPN 1.0,Pakistan,PAK,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Panama,PAN,2017,YR2017,0.516,4.268,0.394,3.257,0.138,1.139,4.225,3.75,3.224,1.128,1.11,1.61,0.654,0.95,0.306,0.44,0.17,0.25,0.69,1.295,1.88,0.263,0.155,0.072,0.04,0.307,0.163,2.7,14.7,21.1,0.1,0.6,0.9,4106764
Food Prices for Nutrition 1.0,FPN 1.0,Panama,PAN,2018,YR2018,..,4.311,..,..,..,..,4.268,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.5,..,..,0.8,4176868
Food Prices for Nutrition 1.0,FPN 1.0,Panama,PAN,2019,YR2019,..,4.426,..,..,..,..,4.382,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18,..,..,0.8,4246440
Food Prices for Nutrition 1.0,FPN 1.0,Panama,PAN,2020,YR2020,..,4.521,..,..,..,..,4.476,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.2,..,..,0.8,4314768
Food Prices for Nutrition 1.0,FPN 1.0,Panama,PAN,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Paraguay,PRY,2017,YR2017,0.585,3.465,0.662,3.925,0.162,0.96,3.43,3.61,3.886,0.95,0.809,1.71,0.455,0.96,0.826,1.74,0.142,0.3,0.474,0.724,1.53,0.236,0.133,0.241,0.041,0.211,0.138,0.5,24.8,20.1,0,1.7,1.4,6867058
Food Prices for Nutrition 1.0,FPN 1.0,Paraguay,PRY,2018,YR2018,..,3.546,..,..,..,..,3.511,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.7,..,..,1.3,6956069
Food Prices for Nutrition 1.0,FPN 1.0,Paraguay,PRY,2019,YR2019,..,3.555,..,..,..,..,3.519,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.9,..,..,1.3,7044639
Food Prices for Nutrition 1.0,FPN 1.0,Paraguay,PRY,2020,YR2020,..,3.579,..,..,..,..,3.543,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.8,..,..,1.3,7132530
Food Prices for Nutrition 1.0,FPN 1.0,Paraguay,PRY,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Peru,PER,2017,YR2017,0.696,3.115,0.505,2.263,0.207,0.925,3.084,3.37,2.24,0.916,0.898,1.52,0.57,0.96,0.35,0.59,0.122,0.21,0.591,0.552,0.93,0.291,0.185,0.113,0.04,0.179,0.192,2.2,14.5,23.7,0.7,4.6,7.5,31444299
Food Prices for Nutrition 1.0,FPN 1.0,Peru,PER,2018,YR2018,..,3.092,..,..,..,..,3.061,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.9,..,..,6.7,31989265
Food Prices for Nutrition 1.0,FPN 1.0,Peru,PER,2019,YR2019,..,3.281,..,..,..,..,3.248,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.6,..,..,6.7,32510462
Food Prices for Nutrition 1.0,FPN 1.0,Peru,PER,2020,YR2020,..,3.318,..,..,..,..,3.285,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.5,..,..,6.8,32971846
Food Prices for Nutrition 1.0,FPN 1.0,Peru,PER,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Philippines,PHL,2017,YR2017,0.586,3.882,0.43,2.848,0.176,1.17,3.843,3.32,2.82,1.158,1.095,1.6,0.591,0.86,0.319,0.47,0.201,0.29,0.684,0.953,1.39,0.285,0.154,0.083,0.052,0.248,0.178,7.5,54.2,71,7.9,57.1,74.6,105172921
Food Prices for Nutrition 1.0,FPN 1.0,Philippines,PHL,2018,YR2018,..,4.038,..,..,..,..,3.998,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71,..,..,75.7,106651394
Food Prices for Nutrition 1.0,FPN 1.0,Philippines,PHL,2019,YR2019,..,4.095,..,..,..,..,4.054,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68.6,..,..,74.2,108116622
Food Prices for Nutrition 1.0,FPN 1.0,Philippines,PHL,2020,YR2020,..,4.149,..,..,..,..,4.108,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68.6,..,..,75.2,109581085
Food Prices for Nutrition 1.0,FPN 1.0,Philippines,PHL,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Poland,POL,2017,YR2017,0.381,2.938,0.252,1.944,0.051,0.394,2.909,7.46,1.925,0.39,0.584,1.84,0.651,2.05,0.377,1.19,0.09,0.28,0.318,0.89,2.8,0.201,0.224,0.13,0.031,0.306,0.109,0,0.1,1,0,0,0.4,37974826
Food Prices for Nutrition 1.0,FPN 1.0,Poland,POL,2018,YR2018,..,3.016,..,..,..,..,2.986,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.4,..,..,0.5,37974750
Food Prices for Nutrition 1.0,FPN 1.0,Poland,POL,2019,YR2019,..,3.069,..,..,..,..,3.038,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.8,..,..,0.3,37965475
Food Prices for Nutrition 1.0,FPN 1.0,Poland,POL,2020,YR2020,..,3.202,..,..,..,..,3.17,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,0.4,37950802
Food Prices for Nutrition 1.0,FPN 1.0,Poland,POL,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Portugal,PRT,2017,YR2017,0.278,2.538,0.203,1.854,0.046,0.416,2.513,6.1,1.835,0.412,0.583,2.15,0.687,2.54,0.275,1.01,0.078,0.29,0.271,0.62,2.29,0.232,0.273,0.109,0.031,0.247,0.108,0.1,0.7,1.1,0,0.1,0.1,10300300
Food Prices for Nutrition 1.0,FPN 1.0,Portugal,PRT,2018,YR2018,..,2.622,..,..,..,..,2.596,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.1,..,..,0.1,10283822
Food Prices for Nutrition 1.0,FPN 1.0,Portugal,PRT,2019,YR2019,..,2.605,..,..,..,..,2.579,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,0.1,10286263
Food Prices for Nutrition 1.0,FPN 1.0,Portugal,PRT,2020,YR2020,..,2.683,..,..,..,..,2.656,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,0.1,10305564
Food Prices for Nutrition 1.0,FPN 1.0,Portugal,PRT,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Qatar,QAT,2017,YR2017,0.466,2.399,0.23,1.185,0.118,0.608,2.375,3.95,1.173,0.602,0.679,1.97,0.478,1.39,0.311,0.9,0.071,0.21,0.344,0.493,1.43,0.286,0.201,0.131,0.03,0.208,0.145,..,..,..,..,..,..,2724727
Food Prices for Nutrition 1.0,FPN 1.0,Qatar,QAT,2018,YR2018,..,2.451,..,..,..,..,2.426,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2781682
Food Prices for Nutrition 1.0,FPN 1.0,Qatar,QAT,2019,YR2019,..,2.509,..,..,..,..,2.484,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2832071
Food Prices for Nutrition 1.0,FPN 1.0,Qatar,QAT,2020,YR2020,..,2.603,..,..,..,..,2.577,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2881060
Food Prices for Nutrition 1.0,FPN 1.0,Qatar,QAT,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Romania,ROU,2017,YR2017,0.273,2.951,0.205,2.208,0.046,0.494,2.921,5.97,2.186,0.489,0.945,2.64,0.697,1.95,0.351,0.98,0.073,0.2,0.358,0.497,1.39,0.324,0.239,0.12,0.025,0.17,0.123,0.9,7.9,11.9,0.2,1.6,2.3,19588715
Food Prices for Nutrition 1.0,FPN 1.0,Romania,ROU,2018,YR2018,..,2.987,..,..,..,..,2.957,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.9,..,..,1.3,19473970
Food Prices for Nutrition 1.0,FPN 1.0,Romania,ROU,2019,YR2019,..,3.04,..,..,..,..,3.01,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.3,..,..,1.6,19371648
Food Prices for Nutrition 1.0,FPN 1.0,Romania,ROU,2020,YR2020,..,3.223,..,..,..,..,3.191,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.8,..,..,1.7,19286123
Food Prices for Nutrition 1.0,FPN 1.0,Romania,ROU,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Russian Federation,RUS,2017,YR2017,0.343,3.181,0.241,2.237,0.066,0.612,3.149,5.2,2.215,0.606,0.98,2.72,0.745,2.07,0.191,0.53,0.135,0.38,0.36,0.739,2.05,0.311,0.237,0.061,0.043,0.235,0.114,0,1,4,0,1.4,5.7,144496739
Food Prices for Nutrition 1.0,FPN 1.0,Russian Federation,RUS,2018,YR2018,..,3.229,..,..,..,..,3.197,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.7,..,..,5.3,144477859
Food Prices for Nutrition 1.0,FPN 1.0,Russian Federation,RUS,2019,YR2019,..,3.297,..,..,..,..,3.264,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.1,..,..,4.4,144406261
Food Prices for Nutrition 1.0,FPN 1.0,Russian Federation,RUS,2020,YR2020,..,3.455,..,..,..,..,3.42,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.5,..,..,5,144104080
Food Prices for Nutrition 1.0,FPN 1.0,Russian Federation,RUS,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Rwanda,RWA,2017,YR2017,1.808,2.635,0.908,1.324,0.529,0.771,2.609,3.42,1.311,0.763,0.919,1.58,0.481,0.83,0.136,0.23,0.19,0.33,0.58,0.303,0.52,0.352,0.184,0.052,0.073,0.116,0.222,34.5,66.8,89,4.1,8,10.7,11980960
Food Prices for Nutrition 1.0,FPN 1.0,Rwanda,RWA,2018,YR2018,..,2.508,..,..,..,..,2.483,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.6,..,..,10.7,12301969
Food Prices for Nutrition 1.0,FPN 1.0,Rwanda,RWA,2019,YR2019,..,2.563,..,..,..,..,2.537,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85.2,..,..,10.8,12626938
Food Prices for Nutrition 1.0,FPN 1.0,Rwanda,RWA,2020,YR2020,..,2.725,..,..,..,..,2.698,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.3,..,..,11.2,12952209
Food Prices for Nutrition 1.0,FPN 1.0,Rwanda,RWA,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Sao Tome and Principe,STP,2017,YR2017,0.702,3.321,0.548,2.595,0.191,0.905,3.288,3.67,2.569,0.896,1.015,2.13,0.241,0.51,0.392,0.82,0.117,0.25,0.477,1.046,2.19,0.309,0.073,0.119,0.036,0.318,0.145,16.3,75.7,84.4,0,0.2,0.2,207086
Food Prices for Nutrition 1.0,FPN 1.0,Sao Tome and Principe,STP,2018,YR2018,..,3.428,..,..,..,..,3.394,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84.4,..,..,0.2,211032
Food Prices for Nutrition 1.0,FPN 1.0,Sao Tome and Principe,STP,2019,YR2019,..,3.498,..,..,..,..,3.463,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84.3,..,..,0.2,215048
Food Prices for Nutrition 1.0,FPN 1.0,Sao Tome and Principe,STP,2020,YR2020,..,3.587,..,..,..,..,3.551,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84.7,..,..,0.2,219161
Food Prices for Nutrition 1.0,FPN 1.0,Sao Tome and Principe,STP,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Saudi Arabia,SAU,2017,YR2017,0.329,3.476,0.167,1.77,0.084,0.892,3.441,3.9,1.752,0.883,1.031,2.26,0.739,1.62,0.303,0.66,0.173,0.38,0.457,0.738,1.61,0.3,0.215,0.088,0.05,0.214,0.133,..,..,..,..,..,..,33101183
Food Prices for Nutrition 1.0,FPN 1.0,Saudi Arabia,SAU,2018,YR2018,..,3.7,..,..,..,..,3.663,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33702757
Food Prices for Nutrition 1.0,FPN 1.0,Saudi Arabia,SAU,2019,YR2019,..,3.927,..,..,..,..,3.888,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34268529
Food Prices for Nutrition 1.0,FPN 1.0,Saudi Arabia,SAU,2020,YR2020,..,4.19,..,..,..,..,4.148,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34813867
Food Prices for Nutrition 1.0,FPN 1.0,Saudi Arabia,SAU,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Senegal,SEN,2017,YR2017,0.677,2.212,0.574,1.877,0.23,0.753,2.19,2.94,1.858,0.745,0.377,0.94,0.422,1.05,0.124,0.31,0.19,0.47,0.401,0.677,1.69,0.172,0.193,0.057,0.087,0.309,0.183,3.2,42.3,53,0.5,6.5,8.2,15419354
Food Prices for Nutrition 1.0,FPN 1.0,Senegal,SEN,2018,YR2018,..,2.273,..,..,..,..,2.25,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.3,..,..,7.5,15854324
Food Prices for Nutrition 1.0,FPN 1.0,Senegal,SEN,2019,YR2019,..,2.301,..,..,..,..,2.278,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.5,..,..,7.4,16296362
Food Prices for Nutrition 1.0,FPN 1.0,Senegal,SEN,2020,YR2020,..,2.354,..,..,..,..,2.33,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46,..,..,7.7,16743930
Food Prices for Nutrition 1.0,FPN 1.0,Senegal,SEN,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Serbia,SRB,2017,YR2017,0.608,4.111,0.398,2.696,0.09,0.607,4.07,6.77,2.669,0.601,0.998,1.74,0.872,1.52,0.612,1.07,0.096,0.17,0.572,0.92,1.61,0.245,0.214,0.15,0.024,0.226,0.141,3.2,15.2,29,0.2,1.1,2,7020858
Food Prices for Nutrition 1.0,FPN 1.0,Serbia,SRB,2018,YR2018,..,4.191,..,..,..,..,4.149,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.9,..,..,1,6982604
Food Prices for Nutrition 1.0,FPN 1.0,Serbia,SRB,2019,YR2019,..,4.216,..,..,..,..,4.174,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.3,..,..,1.1,6945235
Food Prices for Nutrition 1.0,FPN 1.0,Serbia,SRB,2020,YR2020,..,4.289,..,..,..,..,4.246,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.3,..,..,1.1,6908224
Food Prices for Nutrition 1.0,FPN 1.0,Serbia,SRB,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
